field query title	Description
query.title	Query title and subtitle
query.container-title	Query container-title aka. publication name
query.author	Query author given and family names
query.editor	Query editor given and family names
query.chair	Query chair given and family names
query.translator	Query translator given and family names
query.contributor	"Query author, editor, chair and translator given and family names"
query.bibliographic	"Query bibliographic information, useful for citation look up. Includes titles, authors, ISSNs and publication years"
query.affiliation	Query contributor affiliations
