name	filter	Description
	has-abstract	
	has-affiliation	
	has-archive	
	has-assertion	
	has-authenticated-orcid	
	has-clinical-trial-number	
	has-content-domain	
	has-domain-restriction	
	has-full-text	
	has-funder	
	has-license	
	has-orcid	
	has-references	
	has-relation	
	has-update-policy	
