Key	Max	Description
*		This is an alias for all facets. It is also really slow.
affiliation		
archive		
assertion		
assertion-group		
category-name		
container-title		
funder-doi		
funder-name		
issn		
journal-issue		
journal-volume		
license		
orcid		
published		
publisher-name		
relation-type		
source		
type-name		
update-type		
